STATEFP,GEOID,NAME,LOGRADE,HIGRADE,Latitiude,Longitude,NCESIDn,BIA_School,BIA
33,3302880,Epping School District,PK,12,43.054187,-71.0841925,3302880,Contains non-reservation school,
33,3302990,Fall Mountain Regional School District,PK,12,43.1644681,-72.3570114,3302990,Contains non-reservation school,
33,3303000,Farmington School District,PK,12,43.3725594,-71.0832596,3303000,Contains non-reservation school,
33,3303090,Franklin School District,PK,12,43.4484094,-71.6677676,3303090,Contains non-reservation school,
33,3303180,Gilford School District,KG,12,43.5191565,-71.3755925,3303180,No School,
33,3303240,Goffstown School District,PK,12,43.0191982,-71.555445,3303240,Contains non-reservation school,
33,3303275,Surry School District,KG,12,43.0369163,-72.3457697,3303275,No School,
33,3303293,Sullivan School District,PK,12,43.0206159,-72.2143736,3303293,No School,
33,3303330,Governor Wentworth Regional School District,PK,12,43.6511225,-71.1503666,3303330,Contains non-reservation school,
33,3303640,Harts Location School District,KG,12,44.1409256,-71.3757617,3303640,No School,
33,3303660,Haverhill Cooperative School District,PK,12,44.076348,-71.9921137,3303660,Contains non-reservation school,
33,3303750,Hillsboro-Deering Cooperative School District,PK,12,43.1145138,-71.9074745,3303750,No School,
33,3303780,Hinsdale School District,PK,12,42.8092977,-72.5048221,3303780,Contains non-reservation school,
33,3303900,Hopkinton School District,PK,12,43.2021868,-71.6968031,3303900,Contains non-reservation school,
33,3303930,Hudson School District,KG,12,42.7605084,-71.4094937,3303930,Contains non-reservation school,
33,3303960,Inter-Lakes School District,PK,12,43.8248258,-71.4126429,3303960,Contains non-reservation school,
33,3304030,Jaffrey-Rindge Cooperative School District,PK,12,42.788336,-72.0352018,3304030,Contains non-reservation school,
33,3304040,Kearsarge Regional School District,KG,12,43.3585822,-71.953808,3304040,No School,
33,3304050,Keene School District,PK,12,42.9537747,-72.3067282,3304050,Contains non-reservation school,
33,3304140,Laconia School District,PK,12,43.5764957,-71.4823007,3304140,Contains non-reservation school,
33,3304230,Lebanon School District,PK,12,43.6233155,-72.2514532,3304230,Contains non-reservation school,
33,3304260,Lincoln-Woodstock School District,KG,12,44.0946698,-71.631369,3304260,No School,
33,3304290,Lisbon Regional School District,KG,12,44.2517934,-71.9128212,3304290,No School,
33,3304350,Litchfield School District,KG,12,42.8460813,-71.468283,3304350,No School,
33,3304380,Littleton School District,KG,12,44.3433498,-71.7951157,3304380,No School,
33,3304410,Londonderry School District,PK,12,42.8698392,-71.3878445,3304410,Contains non-reservation school,
33,3304590,Manchester School District,PK,12,42.9849406,-71.4441315,3304590,Contains non-reservation school,
33,3304670,Mascenic Regional School District,KG,12,42.7518915,-71.8626204,3304670,Contains non-reservation school,
33,3304680,Mascoma Valley Regional School District,KG,12,43.6769397,-72.0070015,3304680,Contains non-reservation school,
33,3304740,Merrimack School District,KG,12,42.8520335,-71.5198762,3304740,Contains non-reservation school,
33,3304760,Merrimack Valley School District,PK,12,43.2908476,-71.7215386,3304760,Contains non-reservation school,
33,3304770,Middleton School District,KG,12,43.4830066,-71.0706405,3304770,No School,
33,3304830,Milford School District,KG,12,42.8186453,-71.6733537,3304830,Contains non-reservation school,
33,3304890,Monadnock Regional School District,PK,12,42.8472114,-72.2419796,3304890,Contains non-reservation school,
33,3304960,Moultonborough School District,KG,12,43.7205148,-71.368582,3304960,No School,
33,3304980,Nashua School District,PK,12,42.7490744,-71.4905435,3304980,Contains non-reservation school,
33,3305220,Newfound Area School District,PK,12,43.642709,-71.7891385,3305220,Contains non-reservation school,
33,3305280,Newmarket School District,PK,12,43.0709095,-70.9468748,3305280,Contains non-reservation school,
33,3305310,Newport School District,KG,12,43.3713455,-72.2027889,3305310,Contains non-reservation school,
33,3305400,Northumberland School District,KG,12,44.5685595,-71.51927,3305400,No School,
33,3305520,Oyster River Cooperative School District,KG,12,43.127847,-70.9604898,3305520,Contains non-reservation school,
